datetime,irradiancia_kwh_m2,temperatura_c,humedad_pct,viento_m_s
2020-01-01 00:00:00,0.0,23.68,95.58,1.73
2020-01-01 01:00:00,0.0,23.49,96.25,1.74
2020-01-01 02:00:00,0.0,23.37,96.63,1.84
2020-01-01 03:00:00,0.0,23.33,96.8,1.91
2020-01-01 04:00:00,0.0,23.21,97.19,1.91
2020-01-01 05:00:00,0.0,23.12,97.31,1.97
2020-01-01 06:00:00,34.47,23.48,95.72,2.13
2020-01-01 07:00:00,222.32,24.76,89.88,2.46
2020-01-01 08:00:00,424.25,26.48,79.16,2.61
2020-01-01 09:00:00,590.35,28.27,67.96,2.66
2020-01-01 10:00:00,686.25,29.55,61.09,2.57
2020-01-01 11:00:00,735.17,30.46,56.69,2.39
2020-01-01 12:00:00,710.9,30.96,54.05,2.23
2020-01-01 13:00:00,560.28,31.0,53.52,2.12
2020-01-01 14:00:00,435.45,30.71,54.56,2.08
2020-01-01 15:00:00,255.32,29.98,57.34,2.05
2020-01-01 16:00:00,78.07,28.7,63.84,1.88
2020-01-01 17:00:00,0.0,26.72,75.49,1.64
2020-01-01 18:00:00,0.0,26.11,79.12,1.73
2020-01-01 19:00:00,0.0,25.61,82.38,1.79
2020-01-01 20:00:00,0.0,25.23,85.18,1.9
2020-01-01 21:00:00,0.0,24.79,88.37,1.99
2020-01-01 22:00:00,0.0,24.4,90.98,2.03
2020-01-01 23:00:00,0.0,24.16,91.97,2.07
2020-01-02 00:00:00,0.0,23.96,92.52,2.14
2020-01-02 01:00:00,0.0,23.72,93.45,2.17
2020-01-02 02:00:00,0.0,23.53,94.0,2.18
2020-01-02 03:00:00,0.0,23.42,94.13,2.22
2020-01-02 04:00:00,0.0,23.34,94.21,2.22
2020-01-02 05:00:00,0.0,23.22,94.44,2.21
2020-01-02 06:00:00,32.4,23.48,92.61,2.37
2020-01-02 07:00:00,206.95,25.02,82.34,2.82
2020-01-02 08:00:00,406.9,26.81,70.03,3.07
2020-01-02 09:00:00,585.83,28.15,62.39,3.0
2020-01-02 10:00:00,693.88,29.3,56.63,2.89
2020-01-02 11:00:00,710.7,30.23,52.38,2.79
2020-01-02 12:00:00,725.97,30.78,49.91,2.71
2020-01-02 13:00:00,653.95,31.04,48.78,2.65
2020-01-02 14:00:00,517.2,30.76,49.72,2.63
